分类: 📺央视频道, 名称: CCTV-1, 有效: 1, IPv4: 18, IPv6: 0, 最小延迟: 77 ms, 最高速率: 11.21 M/s, 平均速率: 11.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 83 ms, 最高速率: 10.91 M/s, 平均速率: 10.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 80 ms, 最高速率: 11.13 M/s, 平均速率: 11.13 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 436 ms, 最高速率: 0.34 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 77 ms, 最高速率: 11.29 M/s, 平均速率: 5.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 10096 ms, 最高速率: 0.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 10101 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 1, IPv4: 16, IPv6: 0, 最小延迟: 79 ms, 最高速率: 10.96 M/s, 平均速率: 10.96 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 257 ms, 最高速率: 0.35 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 1079 ms, 最高速率: 2.38 M/s, 平均速率: 1.64 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 1, IPv4: 16, IPv6: 0, 最小延迟: 10146 ms, 最高速率: 0.66 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
